whed_1  | > web-crawler@1.0.0 start /home/node/app
whed_1  | > ts-node -r ./src/main.ts
whed_1  | 
whed_1  |  LOG  Processing Afghanistan
whed_1  |  RESULT  Afghanistan total result 35
whed_1  |  LOG  Processing Albania
whed_1  |  RESULT  Albania total result 22
whed_1  |  LOG  Processing Algeria
whed_1  |  RESULT  Algeria total result 92
whed_1  |  LOG  Processing Andorra
whed_1  |  RESULT  Andorra total result 2
whed_1  |  LOG  Processing Angola
whed_1  |  RESULT  Angola total result 44
whed_1  |  LOG  Processing Argentina
whed_1  |  RESULT  Argentina total result 117
whed_1  |  LOG  Processing Armenia
whed_1  |  RESULT  Armenia total result 58
whed_1  |  LOG  Processing Aruba
whed_1  |  RESULT  Aruba total result 2
whed_1  |  LOG  Processing Australia
whed_1  |  RESULT  Australia total result 94
whed_1  |  LOG  Processing Austria
whed_1  |  RESULT  Austria total result 69
whed_1  |  LOG  Processing Azerbaijan
whed_1  |  RESULT  Azerbaijan total result 45
whed_1  |  LOG  Processing Bahamas
whed_1  |  RESULT  Bahamas total result 1
whed_1  |  LOG  Processing Bahrain
whed_1  |  RESULT  Bahrain total result 13
whed_1  |  LOG  Processing Bangladesh
whed_1  |  RESULT  Bangladesh total result 120
whed_1  |  LOG  Processing Barbados
whed_1  |  RESULT  Barbados total result 1
whed_1  |  LOG  Processing Belarus
whed_1  |  RESULT  Belarus total result 44
whed_1  |  LOG  Processing Belize
whed_1  |  RESULT  Belize total result 2
whed_1  |  LOG  Processing Benin
whed_1  |  RESULT  Benin total result 32
whed_1  |  LOG  Processing Bhutan
whed_1  |  RESULT  Bhutan total result 3
whed_1  |  LOG  Processing Bolivia (Plurinational State of)
whed_1  |  RESULT  Bolivia (Plurinational State of) total result 54
whed_1  |  LOG  Processing Bosnia and Herzegovina
whed_1  |  RESULT  Bosnia and Herzegovina total result 35
whed_1  |  LOG  Processing Botswana
whed_1  |  RESULT  Botswana total result 14
whed_1  |  LOG  Processing Brazil
whed_1  |  RESULT  Brazil total result 1043
whed_1  |  LOG  Processing Brunei Darussalam
whed_1  |  RESULT  Brunei Darussalam total result 4
whed_1  |  LOG  Processing Bulgaria
whed_1  |  RESULT  Bulgaria total result 50
whed_1  |  LOG  Processing Burkina Faso
whed_1  |  RESULT  Burkina Faso total result 48
whed_1  |  LOG  Processing Burundi
whed_1  |  RESULT  Burundi total result 10
whed_1  |  LOG  Processing Cabo Verde
whed_1  |  RESULT  Cabo Verde total result 8
whed_1  |  LOG  Processing Cambodia
whed_1  |  RESULT  Cambodia total result 45
whed_1  |  LOG  Processing Cameroon
whed_1  |  RESULT  Cameroon total result 42
whed_1  |  LOG  Processing Central African Republic
whed_1  |  RESULT  Central African Republic total result 3
whed_1  |  LOG  Processing Chad
whed_1  |  RESULT  Chad total result 10
whed_1  |  LOG  Processing Chile
whed_1  |  RESULT  Chile total result 64
whed_1  |  LOG  Processing China
whed_1  |  RESULT  China total result 1060
whed_1  |  LOG  Processing China - Hong Kong SAR
whed_1  |  RESULT  China - Hong Kong SAR total result 14
whed_1  |  LOG  Processing China - Macao SAR
whed_1  |  RESULT  China - Macao SAR total result 9
whed_1  |  LOG  Processing China - Taiwan
whed_1  |  RESULT  China - Taiwan total result 142
whed_1  |  LOG  Processing Colombia
whed_1  |  RESULT  Colombia total result 247
whed_1  |  LOG  Processing Comoros
whed_1  |  RESULT  Comoros total result 1
whed_1  |  LOG  Processing Congo
whed_1  |  RESULT  Congo total result 2
whed_1  |  LOG  Processing Congo (Democratic Republic)
whed_1  |  RESULT  Congo (Democratic Republic) total result 51
whed_1  |  LOG  Processing Costa Rica
whed_1  |  RESULT  Costa Rica total result 57
whed_1  |  LOG  Processing Côte d'Ivoire
whed_1  |  RESULT  Côte d'Ivoire total result 105
whed_1  |  LOG  Processing Croatia
whed_1  |  RESULT  Croatia total result 38
whed_1  |  LOG  Processing Cuba
whed_1  |  RESULT  Cuba total result 51
whed_1  |  LOG  Processing Curaçao
whed_1  |  RESULT  Curaçao total result 1
whed_1  |  LOG  Processing Cyprus
whed_1  |  RESULT  Cyprus total result 35
whed_1  |  LOG  Processing Czech Republic
whed_1  |  RESULT  Czech Republic total result 45
whed_1  |  LOG  Processing Denmark
whed_1  |  RESULT  Denmark total result 33
whed_1  |  LOG  Processing Djibouti
whed_1  |  RESULT  Djibouti total result 1
whed_1  |  LOG  Processing Dominican Republic
whed_1  |  RESULT  Dominican Republic total result 38
whed_1  |  LOG  Processing Ecuador
whed_1  |  RESULT  Ecuador total result 65
whed_1  |  LOG  Processing Egypt
whed_1  |  RESULT  Egypt total result 55
whed_1  |  LOG  Processing El Salvador
whed_1  |  RESULT  El Salvador total result 30
whed_1  |  LOG  Processing Equatorial Guinea
whed_1  |  RESULT  Equatorial Guinea total result 1
whed_1  |  LOG  Processing Eritrea
whed_1  |  RESULT  Eritrea total result 7
whed_1  |  LOG  Processing Estonia
whed_1  |  RESULT  Estonia total result 10
whed_1  |  LOG  Processing Eswatini
whed_1  |  RESULT  Eswatini total result 4
whed_1  |  LOG  Processing Ethiopia
whed_1  |  RESULT  Ethiopia total result 67
whed_1  |  LOG  Processing Faroe Islands
whed_1  |  RESULT  Faroe Islands total result 1
whed_1  |  LOG  Processing Fiji
whed_1  |  RESULT  Fiji total result 5
whed_1  |  LOG  Processing Finland
whed_1  |  RESULT  Finland total result 34
whed_1  |  LOG  Processing France
whed_1  |  RESULT  France total result 400
whed_1  |  LOG  Processing France - French Guyana
whed_1  |  RESULT  France - French Guyana total result 1
whed_1  |  LOG  Processing France - French Polynesia
whed_1  |  RESULT  France - French Polynesia total result 1
whed_1  |  LOG  Processing France - Guadeloupe
whed_1  |  RESULT  France - Guadeloupe total result 0
whed_1  |  LOG  Processing France - Martinique
whed_1  |  RESULT  France - Martinique total result 2
whed_1  |  LOG  Processing France - New Caledonia
whed_1  |  RESULT  France - New Caledonia total result 1
whed_1  |  LOG  Processing France - Reunion
whed_1  |  RESULT  France - Reunion total result 2
whed_1  |  LOG  Processing Gabon
whed_1  |  RESULT  Gabon total result 17
whed_1  |  LOG  Processing Gambia (The)
whed_1  |  RESULT  Gambia (The) total result 1
whed_1  |  LOG  Processing Georgia
whed_1  |  RESULT  Georgia total result 48
whed_1  |  LOG  Processing Germany
whed_1  |  RESULT  Germany total result 359
whed_1  |  LOG  Processing Ghana
whed_1  |  RESULT  Ghana total result 76
whed_1  |  LOG  Processing Greece
whed_1  |  RESULT  Greece total result 26
whed_1  |  LOG  Processing Grenada
whed_1  |  RESULT  Grenada total result 1
whed_1  |  LOG  Processing Guatemala
whed_1  |  RESULT  Guatemala total result 59
whed_1  |  LOG  Processing Guinea
whed_1  |  RESULT  Guinea total result 1
whed_1  |  LOG  Processing Guinea-Bissau
whed_1  |  RESULT  Guinea-Bissau total result 7
whed_1  |  LOG  Processing Guyana
whed_1  |  RESULT  Guyana total result 1
whed_1  |  LOG  Processing Haiti
whed_1  |  RESULT  Haiti total result 14
whed_1  |  LOG  Processing Holy See
whed_1  |  RESULT  Holy See total result 19
whed_1  |  LOG  Processing Honduras
